game,game2,date,date2,series, series,series_game,Lebron s_g,team,Lebron t,opp,Lebron opp,result,Lebron r,mp,Lebron mp,fg,Lebron fg,fga,Lebron fga,fgp,Lebron fgp,three,Lebron 3,threeatt,Lebron 3att,threep,Lebron 3p,ft,Lebron ft,fta,Lebron fta,ftp,Lebron ftp,orb,Lebron orb,drb,Lebron drb,trb,Lebron trb,ast,Lebron ast,stl,Lebron stl,blk,Lebron blk,tov,Lebron tov,pts,Lebron pts,game_score,Lebron g_s,plus_minus,Lebron p_m
1,1,4/19/1985,4/22/2006,EC1,EC1,1,1,CHI,CLE,MIL,WAS,L (-9),W (+11),44,48,7,12,19,27,0.368,0.444,0,1,1,4,0,0.25,9,7,10,11,0.9,0.636,1,3,3,8,4,11,10,11,3,0,0,0,1,4,23,32,21.5,23.3,,11
2,2,4/21/1985,4/25/2006,EC1,EC1,2,2,CHI,CLE,MIL,WAS,L (-7),L (-5),43,43,9,7,17,25,0.529,0.364,1,0,4,3,0.25,0,11,11,12,13,0.917,0.846,1,4,3,4,4,8,12,7,2,1,0,2,7,2,30,27,24.3,22.5,,12
3,3,4/24/1985,4/28/2006,EC1,EC1,3,3,CHI,CLE,MIL,WAS,W (+2),W (+1),42,48,12,16,26,28,0.462,0.5,0,3,1,5,0,0.6,11,5,16,7,0.688,0.714,3,0,5,6,8,6,7,9,4,1,1,0,3,2,35,30,28.2,24.1,,6
4,4,4/26/1985,4/30/2006,EC1,EC1,4,4,CHI,CLE,MIL,WAS,L (-8),L (-10),42,45,6,13,16,23,0.375,0.647,0,6,2,9,0,0.667,17,9,20,10,0.85,0.9,2,0,5,12,7,12,5,11,2,2,3,1,4,2,29,37,24.3,39.9,,29
1,1,4/17/1986,4/22/2006,EC1,EC1,1,1,CHI,CLE,BOS,WAS,L (-19),W (+11),43,48,18,12,36,27,0.5,0.444,0,1,0,4,,0.25,13,7,15,11,0.867,0.636,0,3,4,8,4,11,2,11,2,0,1,0,5,4,49,32,29.3,23.3,,11
2,2,4/20/1986,4/25/2006,EC1,EC1,2,2,CHI,CLE,BOS,WAS,L (-4),L (-5),53,43,22,7,41,25,0.537,0.364,0,0,0,3,,0,19,11,21,13,0.905,0.846,1,4,4,4,5,8,6,7,3,1,2,2,4,2,63,27,47.2,22.5,,12
3,3,4/22/1986,4/28/2006,EC1,EC1,3,3,CHI,CLE,BOS,WAS,L (-18),W (+1),39,48,8,16,18,28,0.444,0.5,1,3,1,5,1,0.6,2,5,3,7,0.667,0.714,4,0,6,6,10,6,9,9,2,1,1,0,5,2,19,30,15.4,24.1,,6
1,1,4/23/1987,4/22/2006,EC1,EC1,1,1,CHI,CLE,BOS,WAS,L (-4),W (+11),44,48,12,12,25,27,0.48,0.444,0,1,1,4,0,0.25,11,7,11,11,1,0.636,0,3,6,8,6,11,7,11,4,0,2,0,2,4,35,32,30.8,23.3,,11
2,2,4/26/1987,4/25/2006,EC1,EC1,2,2,CHI,CLE,BOS,WAS,L (-9),L (-5),45,43,14,7,29,25,0.483,0.364,2,0,3,3,0.667,0,12,11,14,13,0.857,0.846,1,4,3,4,4,8,4,7,0,1,4,2,4,2,42,27,28.5,22.5,,12
3,3,4/28/1987,4/28/2006,EC1,EC1,3,3,CHI,CLE,BOS,WAS,L (-11),W (+1),39,48,9,16,30,28,0.3,0.5,0,3,1,5,0,0.6,12,5,14,7,0.857,0.714,6,0,5,6,11,6,7,9,2,1,1,0,2,2,30,30,21.5,24.1,,6
1,1,4/28/1988,4/22/2006,EC1,EC1,1,1,CHI,CLE,CLE,WAS,W (+11),W (+11),44,48,19,12,35,27,0.543,0.444,0,1,0,4,,0.25,12,7,12,11,1,0.636,1,3,6,8,7,11,2,11,2,0,2,0,5,4,50,32,34.2,23.3,,11
2,2,5/1/1988,4/25/2006,EC1,EC1,2,2,CHI,CLE,CLE,WAS,W (+5),L (-5),44,43,24,7,45,25,0.533,0.364,0,0,0,3,,0,7,11,7,13,1,0.846,3,4,3,4,6,8,3,7,4,1,1,2,1,2,55,27,40.3,22.5,,12
3,3,5/3/1988,4/28/2006,EC1,EC1,3,3,CHI,CLE,CLE,WAS,L (-8),W (+1),44,48,12,16,25,28,0.48,0.5,0,3,0,5,,0.6,14,5,15,7,0.933,0.714,2,0,3,6,5,6,9,9,2,1,1,0,4,2,38,30,30.2,24.1,,6
4,4,5/5/1988,4/30/2006,EC1,EC1,4,4,CHI,CLE,CLE,WAS,L (-6),L (-10),42,45,18,13,25,23,0.72,0.647,0,6,0,9,,0.667,8,9,9,10,0.889,0.9,2,0,3,12,5,12,4,11,4,2,2,1,4,2,44,37,37.4,39.9,,29
5,5,5/8/1988,5/3/2006,EC1,EC1,5,5,CHI,CLE,CLE,WAS,W (+6),W (+1),43,46,12,14,22,23,0.545,0.438,0,2,0,6,,0.333,15,13,18,15,0.833,0.867,1,1,3,7,4,8,6,7,2,2,2,1,7,4,39,29,27.8,25.4,,6
6,6,5/10/1988,5/5/2006,ECS,EC1,1,6,CHI,CLE,DET,WAS,L (-11),W (+1),40,53,10,15,22,25,0.455,0.462,0,0,1,3,0,0,9,8,10,10,0.9,0.8,5,6,6,9,11,15,6,5,0,2,1,1,5,1,29,32,20.8,29.5,,12
7,7,5/12/1988,5/7/2006,ECS,ECS,2,1,CHI,CLE,DET,DET,W (+10),L (-27),44,36,14,9,22,18,0.636,0.455,0,0,0,4,,0,8,8,10,13,0.8,0.615,4,4,7,5,11,9,1,5,1,6,1,0,2,2,36,28,28.7,26.4,,-7
8,8,5/14/1988,5/9/2006,ECS,ECS,3,2,CHI,CLE,DET,DET,L (-22),L (-6),38,48,8,11,20,23,0.4,0.455,0,1,0,4,,0.25,8,1,9,3,0.889,0.333,1,1,6,6,7,7,3,3,1,2,1,0,5,4,24,22,12.9,12,,-9
9,9,5/15/1988,5/13/2006,ECS,ECS,4,3,CHI,CLE,DET,DET,L (-19),W (+9),45,48,11,9,22,18,0.5,0.519,0,0,0,0,,0,1,12,2,16,0.5,0.75,2,6,5,12,7,18,5,9,6,2,0,2,3,5,23,40,21,37.2,,4
10,10,5/18/1988,5/15/2006,ECS,ECS,5,4,CHI,CLE,DET,DET,L (-7),W (+2),43,48,10,8,22,23,0.455,0.632,1,2,2,4,0.5,0.5,4,4,7,4,0.571,1,2,3,6,7,8,10,8,8,2,1,0,1,3,4,25,30,18.6,28.6,,28
1,1,4/28/1989,4/22/2006,EC1,EC1,1,1,CHI,CLE,CLE,WAS,W (+7),W (+11),40,48,12,12,21,27,0.571,0.444,0,1,1,4,0,0.25,7,7,8,11,0.875,0.636,0,3,5,8,5,11,11,11,4,0,1,0,6,4,31,32,26.6,23.3,,11
2,2,4/30/1989,4/25/2006,EC1,EC1,2,2,CHI,CLE,CLE,WAS,L (-8),L (-5),44,43,10,7,22,25,0.455,0.364,0,0,1,3,0,0,10,11,10,13,1,0.846,3,4,2,4,5,8,10,7,2,1,0,2,7,2,30,27,22.5,22.5,,12
3,3,5/3/1989,4/28/2006,EC1,EC1,3,3,CHI,CLE,CLE,WAS,W (+7),W (+1),39,48,18,16,34,28,0.529,0.5,1,3,1,5,1,0.6,7,5,9,7,0.778,0.714,2,0,5,6,7,6,10,9,5,1,1,0,5,2,44,30,35.6,24.1,,6
4,4,5/5/1989,4/30/2006,EC1,EC1,4,4,CHI,CLE,CLE,WAS,L (-3),L (-10),43,45,14,13,28,23,0.5,0.647,0,6,1,9,0,0.667,22,9,27,10,0.815,0.9,0,0,3,12,3,12,4,11,3,2,0,1,1,2,50,37,37.3,39.9,,29
5,5,5/7/1989,5/3/2006,EC1,EC1,5,5,CHI,CLE,CLE,WAS,W (+1),W (+1),44,46,17,14,32,23,0.531,0.438,1,2,1,6,1,0.333,9,13,13,15,0.692,0.867,3,1,6,7,9,8,6,7,1,2,0,1,2,4,44,29,32.7,25.4,,6
6,6,5/9/1989,5/5/2006,ECS,EC1,1,6,CHI,CLE,NYK,WAS,W (+11),W (+1),46,53,11,15,17,25,0.647,0.462,1,0,2,3,0.5,0,11,8,11,10,1,0.8,2,6,8,9,10,15,12,5,2,2,0,1,6,1,34,32,32.7,29.5,,12
7,7,5/11/1989,5/7/2006,ECS,ECS,2,1,CHI,CLE,NYK,DET,L (-17),L (-27),34,36,7,9,17,18,0.412,0.455,0,0,2,4,0,0,1,8,4,13,0.25,0.615,2,4,6,5,8,9,3,5,1,6,0,0,1,2,15,28,8.4,26.4,,-7
8,8,5/13/1989,5/9/2006,ECS,ECS,3,2,CHI,CLE,NYK,DET,W (+23),L (-6),39,48,14,11,25,23,0.56,0.455,1,1,2,4,0.5,0.25,11,1,13,3,0.846,0.333,2,1,13,6,15,7,9,3,6,2,1,0,3,4,40,22,41.4,12,,-9
9,9,5/14/1989,5/13/2006,ECS,ECS,4,3,CHI,CLE,NYK,DET,W (+13),W (+9),42,48,12,9,18,18,0.667,0.519,0,0,1,0,0,0,23,12,28,16,0.821,0.75,0,6,11,12,11,18,6,9,1,2,2,2,6,5,47,40,39.9,37.2,,4
10,10,5/16/1989,5/15/2006,ECS,ECS,5,4,CHI,CLE,NYK,DET,L (-7),W (+2),43,48,13,8,30,23,0.433,0.632,1,2,3,4,0.333,0.5,11,4,15,4,0.733,1,5,3,3,7,8,10,10,8,5,1,1,1,3,4,38,30,33.9,28.6,,28
11,11,5/19/1989,5/17/2006,ECS,ECS,6,5,CHI,CLE,NYK,DET,W (+2),W (+2),45,47,14,13,22,30,0.636,0.522,1,0,3,3,0.333,0,11,4,12,5,0.917,0.8,1,1,4,5,5,6,10,7,0,3,4,0,6,1,40,28,34.3,25,,16
12,12,5/21/1989,5/19/2006,ECF,ECS,1,6,CHI,CLE,DET,DET,W (+6),L (-2),45,48,10,8,29,20,0.345,0.591,2,0,6,3,0.333,0,10,6,13,9,0.769,0.667,2,1,9,12,11,13,4,3,0,1,0,3,3,3,32,32,16.4,26.3,,17
13,13,5/23/1989,5/21/2006,ECF,ECS,2,7,CHI,CLE,DET,DET,L (-9),L (-18),38,47,9,11,20,24,0.45,0.35,0,2,2,6,0,0.333,9,18,11,24,0.818,0.75,1,4,3,6,4,10,4,7,2,1,1,1,4,1,27,34,16.9,29.8,,10
14,14,5/27/1989,5/29/2007,ECF,ECF,3,4,CHI,CLE,DET,DET,W (+2),W (+4),45,44,16,8,26,19,0.615,0.615,0,1,3,4,0,0.25,14,1,15,5,0.933,0.2,3,0,4,8,7,8,5,5,5,2,0,2,2,3,46,34,42.8,25.3,,-6
15,15,5/29/1989,5/31/2007,ECF,ECF,4,5,CHI,CLE,DET,DET,L (-6),W (+2),43,50,5,18,15,33,0.333,0.476,1,2,3,4,0.333,0.5,12,7,17,8,0.706,0.875,0,0,2,7,2,7,4,6,1,2,0,1,1,4,23,29,13.9,22.1,,-22
16,16,5/31/1989,6/2/2007,ECF,ECF,5,6,CHI,CLE,DET,DET,L (-9),W (+16),46,46,4,3,8,11,0.5,0.314,0,3,1,6,0,0.5,10,14,11,18,0.909,0.778,0,4,5,12,5,16,9,11,1,1,0,1,4,3,18,39,17.2,28.9,,0
17,17,6/2/1989,6/7/2007,ECF,FIN,6,1,CHI,CLE,DET,SAS,L (-9),L (-9),42,44,13,4,26,16,0.5,0.538,1,1,2,2,0.5,0.5,5,3,12,5,0.417,0.6,0,2,4,9,4,11,13,6,3,1,2,2,8,5,32,32,20.9,23.5,,24
1,1,4/27/1990,4/22/2006,EC1,EC1,1,1,CHI,CLE,MIL,WAS,W (+14),W (+11),44,48,15,12,27,27,0.556,0.444,0,1,1,4,0,0.25,8,7,11,11,0.727,0.636,1,3,7,8,8,11,7,11,2,0,1,0,7,4,38,32,25.7,23.3,,11
2,2,4/29/1990,4/25/2006,EC1,EC1,2,2,CHI,CLE,MIL,WAS,W (+7),L (-5),44,43,12,7,21,25,0.571,0.364,0,0,0,3,,0,12,11,14,13,0.857,0.846,1,4,8,4,9,8,11,7,5,1,1,2,5,2,36,27,34.8,22.5,,12
3,3,5/1/1990,4/28/2006,EC1,EC1,3,3,CHI,CLE,MIL,WAS,L (-7),W (+1),46,48,20,16,35,28,0.571,0.5,1,3,5,5,0.2,0.6,7,5,9,7,0.778,0.714,2,0,7,6,9,6,5,9,1,1,2,0,5,2,48,30,33.5,24.1,,6
4,4,5/3/1990,4/30/2006,EC1,EC1,4,4,CHI,CLE,MIL,WAS,W (+24),L (-10),32,45,8,13,19,23,0.421,0.647,0,6,0,9,,0.667,9,9,13,10,0.692,0.9,1,0,5,12,6,12,5,11,2,2,0,1,1,2,25,37,18.8,39.9,,29
5,5,5/7/1990,5/3/2006,ECS,EC1,1,5,CHI,CLE,PHI,WAS,W (+11),W (+1),43,46,16,14,30,23,0.533,0.438,2,2,4,6,0.5,0.333,5,13,6,15,0.833,0.867,1,1,4,7,5,8,6,7,5,2,2,1,4,4,39,29,31.3,25.4,,6
6,6,5/9/1990,5/5/2006,ECS,EC1,2,6,CHI,CLE,PHI,WAS,W (+5),W (+1),43,53,18,15,36,25,0.5,0.462,1,0,3,3,0.333,0,8,8,8,10,1,0.8,4,6,4,9,8,15,7,5,3,2,0,1,2,1,45,32,35.7,29.5,,12
7,7,5/11/1990,5/7/2006,ECS,ECS,3,1,CHI,CLE,PHI,DET,L (-6),L (-27),42,36,19,9,34,18,0.559,0.455,4,0,11,4,0.364,0,7,8,9,13,0.778,0.615,2,4,3,5,5,9,5,5,4,6,1,0,5,2,49,28,35.9,26.4,,-7
8,8,5/13/1990,5/9/2006,ECS,ECS,4,2,CHI,CLE,PHI,DET,W (+10),L (-6),42,48,16,11,31,23,0.516,0.455,1,1,2,4,0.5,0.25,12,1,13,3,0.923,0.333,1,1,5,6,6,7,11,3,2,2,2,0,3,4,45,22,38.4,12,,-9
9,9,5/16/1990,5/13/2006,ECS,ECS,5,3,CHI,CLE,PHI,DET,W (+18),W (+9),42,48,17,9,26,18,0.654,0.519,1,0,3,0,0.333,0,2,12,4,16,0.5,0.75,2,6,7,12,9,18,8,9,6,2,1,2,4,5,37,40,35.8,37.2,,4
10,10,5/20/1990,5/15/2006,ECF,ECS,1,4,CHI,CLE,DET,DET,L (-9),W (+2),42,48,12,8,27,23,0.444,0.632,2,2,6,4,0.333,0.5,8,4,8,4,1,1,1,3,6,7,7,10,5,8,3,1,0,1,1,4,34,30,26.7,28.6,,28
11,11,5/22/1990,5/17/2006,ECF,ECS,2,5,CHI,CLE,DET,DET,L (-9),W (+2),45,47,5,13,16,30,0.313,0.522,0,0,2,3,0,0,10,4,12,5,0.833,0.8,1,1,6,5,7,6,7,7,4,3,1,0,3,1,20,28,17.1,25,,16
12,12,5/26/1990,5/19/2006,ECF,ECS,3,6,CHI,CLE,DET,DET,W (+5),L (-2),43,48,17,8,32,20,0.531,0.591,2,0,2,3,1,0,11,6,13,9,0.846,0.667,3,1,7,12,10,13,4,3,1,1,0,3,4,3,47,32,33.4,26.3,,17
13,13,5/28/1990,5/21/2006,ECF,ECS,4,7,CHI,CLE,DET,DET,W (+7),L (-18),43,47,13,11,26,24,0.5,0.35,0,2,1,6,0,0.333,16,18,19,24,0.842,0.75,0,4,4,6,4,10,9,7,4,1,3,1,4,1,42,34,35.4,29.8,,10
14,14,5/30/1990,5/29/2007,ECF,ECF,5,4,CHI,CLE,DET,DET,L (-14),W (+4),39,44,7,8,19,19,0.368,0.615,1,1,4,4,0.25,0.25,7,1,9,5,0.778,0.2,1,0,3,8,4,8,8,5,1,2,0,2,1,3,22,34,17.5,25.3,,-6
15,15,6/1/1990,5/31/2007,ECF,ECF,6,5,CHI,CLE,DET,DET,W (+18),W (+2),39,50,11,18,20,33,0.55,0.476,1,2,4,4,0.25,0.5,6,7,6,8,1,0.875,1,0,9,7,10,7,2,6,1,2,0,1,3,4,29,29,20.6,22.1,,-22
16,16,6/3/1990,6/2/2007,ECF,ECF,7,6,CHI,CLE,DET,DET,L (-19),W (+16),45,46,13,3,27,11,0.481,0.314,0,3,2,6,0,0.5,5,14,5,18,1,0.778,2,4,6,12,8,16,9,11,1,1,0,1,4,3,31,39,23,28.9,,0
1,1,4/25/1991,4/22/2006,EC1,EC1,1,1,CHI,CLE,NYK,WAS,W (+41),W (+11),32,48,8,12,15,27,0.533,0.444,3,1,4,4,0.75,0.25,9,7,9,11,1,0.636,1,3,5,8,6,11,6,11,2,0,0,0,1,4,28,32,27.3,23.3,,11
2,2,4/28/1991,4/25/2006,EC1,EC1,2,2,CHI,CLE,NYK,WAS,W (+10),L (-5),42,43,9,7,16,25,0.563,0.364,0,0,0,3,,0,8,11,9,13,0.889,0.846,1,4,4,4,5,8,5,7,0,1,1,2,2,2,26,27,21.3,22.5,,12
3,3,4/30/1991,4/28/2006,EC1,EC1,3,3,CHI,CLE,NYK,WAS,W (+9),W (+1),39,48,14,16,28,28,0.5,0.5,0,3,2,5,0,0.6,5,5,5,7,1,0.714,1,0,2,6,3,6,7,9,6,1,1,0,1,2,33,30,29.7,24.1,,6
4,4,5/4/1991,4/30/2006,ECS,EC1,1,4,CHI,CLE,PHI,WAS,W (+13),L (-10),31,45,8,13,15,23,0.533,0.647,0,6,1,9,0,0.667,13,9,15,10,0.867,0.9,0,0,5,12,5,12,5,11,3,2,1,1,1,2,29,37,27.8,39.9,,29
